gender;SeniorCitizen;Partner;Dependents;tenure;customerID;Churn
Female;0;Yes;Yes;9;0002-ORFBO;No
Male;0;No;No;9;0003-MKNFE;No
Male;0;No;No;4;0004-TLHLJ;Yes
Male;1;Yes;No;13;0011-IGKFF;Yes
Female;1;Yes;No;3;0013-EXCHZ;Yes
Female;0;No;Yes;9;0013-MHZWF;No
Female;1;Yes;No;71;0013-SMEOE;No
Male;0;Yes;No;63;0014-BMAQU;No
Female;1;No;No;7;0015-UOCOJ;No
Female;0;Yes;Yes;65;0016-QLJIS;No
Male;0;No;No;54;0017-DINOC;No
Female;0;Yes;Yes;72;0017-IUDMW;No
Female;0;Yes;No;5;0018-NYROU;No
Female;0;No;No;72;0019-EFAEP;No
Female;0;No;No;56;0019-GFNTW;No
Female;0;Yes;Yes;71;0020-INWCK;No
Female;0;Yes;Yes;34;0020-JDNXP;No
Female;1;No;No;1;0021-IKXGC;No
Male;1;No;No;45;0022-TCJCI;Yes
Male;1;No;No;1;0023-HGHWL;Yes
Female;1;Yes;No;50;0023-UYUPN;No
Female;0;Yes;No;13;0023-XUOPT;Yes
Female;0;Yes;Yes;23;0027-KWYKW;No
Female;0;No;No;3;0030-FNXPP;No
Female;0;Yes;Yes;4;0031-PVLZI;Yes
Female;0;Yes;Yes;1;0032-PGELS;Yes
Female;0;Yes;Yes;55;0036-IHMOT;No
Male;0;Yes;Yes;54;0040-HALCW;No
Male;0;No;No;26;0042-JVWOJ;No
Female;0;Yes;Yes;69;0042-RLHYP;No
Male;0;Yes;Yes;37;0048-LUMLS;No
Female;0;Yes;No;49;0048-PIHNL;No
Male;0;Yes;No;66;0052-DCKON;No
Female;0;No;No;67;0052-YNYOT;No
Male;0;Yes;Yes;20;0056-EPFBG;No
Female;0;No;Yes;43;0057-QBUQH;No
Female;0;Yes;No;55;0058-EVZWM;No
Female;0;Yes;No;59;0060-FUALY;No
Female;0;Yes;Yes;12;0064-SUDOG;No
Male;0;Yes;Yes;27;0064-YIJGF;No
Male;1;No;No;2;0067-DKWBL;Yes
Female;0;No;No;27;0068-FIGTF;No
Male;0;Yes;Yes;25;0071-NDAFP;No
Male;0;Yes;Yes;25;0074-HDKDG;No
Male;0;No;Yes;29;0076-LVEPS;No
Male;0;Yes;No;72;0078-XZMHT;No
Female;0;No;No;14;0080-EMYVY;No
Female;0;No;No;35;0080-OROZO;No
Male;0;No;No;1;0082-LDZUE;No
Male;0;No;No;29;0082-OQIQY;No
Male;0;No;No;64;0083-PIVIK;No
Female;0;Yes;Yes;39;0089-IIQKO;No
Female;1;No;No;40;0093-EXYQL;No
Male;0;No;No;40;0093-XWZFY;Yes
Female;1;No;No;11;0094-OIFMO;Yes
Female;0;Yes;No;6;0096-BXERS;No
Male;0;No;No;30;0096-FCPUF;No
Male;0;No;No;27;0098-BOWSO;No
Male;1;Yes;No;70;0100-DUVFC;No
Female;0;Yes;No;57;0103-CSITQ;No
Male;0;Yes;No;58;0104-PPXDV;No
Male;0;No;No;16;0106-GHRQR;No
Female;0;Yes;No;69;0106-UGRDO;No
Male;0;No;No;1;0107-WESLM;Yes
Male;0;No;Yes;1;0107-YHINA;Yes
Male;1;Yes;Yes;32;0111-KLBQG;No
Male;0;Yes;Yes;16;0112-QAWRZ;No
Male;0;Yes;No;49;0112-QWPNC;Yes
Female;0;Yes;No;71;0114-IGABW;No
Female;0;No;No;33;0114-PEGZZ;No
Female;0;Yes;No;10;0114-RSRRW;No
Male;0;Yes;No;21;0115-TFERT;Yes
Male;0;Yes;Yes;37;0117-LFRMW;Yes
Female;1;No;No;26;0118-JPNOY;No
Male;0;No;No;50;0121-SNYRK;No
Female;0;No;No;7;0122-OAHPZ;Yes
Female;0;Yes;Yes;61;0123-CRBRT;No
Male;0;No;No;15;0125-LZQXK;Yes
Female;0;No;Yes;26;0128-MKWSG;No
Male;0;Yes;No;72;0129-KPTWJ;No
Male;0;Yes;Yes;44;0129-QMPDR;No
Male;0;No;No;66;0130-SXOUN;No
Female;0;No;No;2;0133-BMFZO;Yes
Female;1;No;No;44;0134-XWXCE;No
Female;0;No;No;12;0135-NMXAP;Yes
Male;1;Yes;No;69;0136-IFMYD;No
Female;0;No;No;1;0137-OCGAB;Yes
Female;0;No;No;3;0137-UDEUO;Yes
Female;0;Yes;No;2;0139-IVFJG;No
Female;1;No;No;27;0141-YEAYS;No
Male;0;No;No;26;0142-GVYSN;No
Female;1;Yes;No;39;0147-ESWWR;No
Male;0;No;No;25;0148-DCDOS;Yes
Female;0;No;No;1;0151-ONTOV;Yes
Male;0;Yes;No;22;0156-FVPTA;Yes
Female;0;No;No;72;0164-APGRB;No
Female;0;No;No;24;0164-XAIRP;No
Female;0;Yes;No;19;0168-XZKBB;No
Male;0;Yes;Yes;71;0174-QRVVY;No
Male;1;Yes;No;33;0177-PXBAT;No
Female;0;No;No;3;0178-CIIKR;No
Male;0;Yes;Yes;47;0178-SZBHO;No
Male;0;Yes;Yes;62;0181-RITDD;No
Male;0;No;No;71;0186-CAERR;No
Male;1;Yes;No;7;0187-QSXOE;No
Female;0;Yes;Yes;27;0187-WZNAB;No
Male;0;No;No;2;0188-GWFLE;No
Female;0;No;Yes;25;0191-EQUUH;No
Male;1;No;No;30;0191-ZHSKZ;No
Female;1;Yes;No;58;0193-ESZXP;Yes
Male;0;Yes;No;10;0195-IESCP;Yes
Female;0;No;No;9;0196-JTUQI;No
Female;1;Yes;No;6;0196-VULGZ;Yes
Female;0;Yes;Yes;69;0197-PNKNK;No
Female;1;No;No;66;0201-MIBOL;No
Female;0;No;No;70;0201-OAMXR;Yes
Male;0;No;No;25;0203-HHYIJ;Yes
Female;0;Yes;Yes;46;0206-OYVOC;No
Female;0;Yes;No;54;0206-TBWLC;No
Female;0;No;No;15;0207-MDKNV;Yes
Female;0;Yes;Yes;12;0208-BPQEJ;No
Female;0;No;No;22;0212-ISBBF;No
Female;0;Yes;No;70;0214-JHPFW;No
Male;0;No;No;30;0215-BQKGS;No
Male;0;Yes;Yes;71;0218-QNVAS;No
Male;0;Yes;No;30;0219-QAERP;No
Male;0;Yes;Yes;4;0219-YTZUE;Yes
Male;0;No;No;2;0220-EBGCE;Yes
Male;0;No;Yes;10;0221-NAUXK;No
Male;1;No;No;4;0221-WMXNQ;No
Male;1;No;No;52;0222-CNVPT;No
Male;0;No;No;5;0224-HJAPT;Yes
Male;0;Yes;Yes;8;0224-NIJLP;No
Female;1;No;No;2;0224-RLWWD;No
Male;0;No;No;3;0225-ZORZP;No
Male;0;No;No;19;0228-MAUWC;No
Male;0;No;No;72;0229-LFJAF;No
Male;1;Yes;No;63;0230-UBYPQ;No
Male;0;Yes;No;66;0230-WEQUW;No
Male;0;No;No;1;0231-LXVAP;Yes
Female;0;No;No;60;0233-FTHAV;No
Female;0;Yes;Yes;48;0234-TEVTT;No
Female;0;No;No;1;0235-KGSLC;Yes
Male;0;No;No;15;0236-HFWSV;Yes
Female;0;Yes;No;50;0237-YFUTL;No
Male;0;Yes;Yes;72;0238-WHBIQ;No
Female;0;No;No;46;0239-OXEXL;No
Female;0;Yes;Yes;72;0244-LGNFY;No
Male;0;Yes;Yes;1;0247-SLUJI;No
Female;0;No;No;1;0248-IPDFW;No
Female;1;No;No;67;0248-PGHBZ;No
Female;0;Yes;Yes;48;0253-ZTEOB;No
Female;0;No;No;72;0254-FNMCI;No
Male;0;Yes;No;52;0254-KCJGT;No
Female;0;Yes;Yes;67;0254-WWRKD;No
Female;0;Yes;Yes;28;0256-LTHVJ;Yes
Female;0;Yes;Yes;32;0257-KXZGU;No
Female;1;Yes;No;27;0257-ZESQC;Yes
Male;0;No;No;3;0258-NOKBL;No
Male;0;No;No;2;0259-GBZSH;Yes
Female;0;No;Yes;9;0260-ZDLGK;Yes
Male;0;Yes;Yes;50;0263-FJTQO;No
Female;0;Yes;Yes;71;0264-CNITK;No
Male;1;Yes;No;32;0265-EDXBD;Yes
Female;0;Yes;Yes;16;0265-PSUAE;No
Female;0;Yes;Yes;67;0266-CLZKZ;No
Male;0;Yes;Yes;72;0266-GMEAO;No
Female;0;No;No;3;0268-QKIWO;Yes
Male;0;Yes;Yes;23;0269-XFESX;No
Male;0;Yes;Yes;72;0270-THENM;No
Male;0;Yes;Yes;7;0274-JKUJR;No
Male;0;Yes;Yes;8;0277-BKSQP;No
Male;0;Yes;Yes;66;0277-ORXQS;No
Male;0;No;No;5;0278-YXOOG;Yes
Male;0;No;No;49;0280-XJGEX;Yes
Male;0;Yes;No;63;0281-CNTZX;No
Female;1;Yes;Yes;12;0282-NVSJS;No
Male;0;Yes;Yes;27;0285-INHLN;No
Female;0;No;No;35;0289-IVARM;No
Female;0;Yes;Yes;54;0292-WEGCH;No
Male;0;No;No;1;0295-PPHDO;Yes
Male;0;No;No;5;0295-QVKPB;No
Male;0;No;No;19;0297-RBCSG;No
Male;0;Yes;Yes;52;0298-XACET;No
Female;0;Yes;Yes;72;0301-FIDRB;No
Male;0;No;No;32;0301-KOBTQ;No
Female;0;Yes;No;8;0302-JOIVN;Yes
Male;0;No;No;41;0303-UNCIP;No
Male;0;No;No;5;0303-WMMRN;No
Female;0;No;Yes;11;0305-SQECB;No
Male;0;No;No;5;0306-JAELE;Yes
Female;0;No;No;16;0307-BCOPK;No
Male;1;No;No;71;0308-GIQJT;No
Female;0;No;No;11;0308-IVGOK;No
Female;0;Yes;Yes;61;0310-MVLET;Yes
Female;0;Yes;No;71;0310-SUCIN;No
Male;0;No;No;9;0310-VQXAM;No
Female;0;No;No;6;0311-QYWSS;No
Female;0;No;No;26;0311-UNPFF;Yes
Female;0;No;No;6;0314-TKOSI;No
Male;0;No;No;11;0315-LVCRK;No
Male;0;Yes;No;1;0318-QUUOB;Yes
Female;0;Yes;No;49;0318-ZOPWS;No
Female;0;Yes;Yes;3;0319-QZTCO;No
Female;0;No;No;53;0320-DWVTU;No
Male;0;Yes;Yes;23;0320-JDNQG;Yes
Male;0;No;No;2;0322-CHQRU;Yes
Male;0;No;No;1;0322-YINQP;Yes
Male;0;No;Yes;3;0323-XWWTN;No
Female;1;Yes;No;68;0324-BRPCJ;Yes
Male;0;No;No;8;0325-XBFAC;Yes
Female;0;Yes;No;70;0326-VDYXE;No
Male;0;Yes;Yes;39;0327-WFZSY;No
Female;0;No;No;1;0328-GRPMV;Yes
Female;0;No;No;3;0329-GTIAJ;Yes
Male;0;Yes;No;60;0330-BGYZE;No
Female;0;Yes;No;5;0330-IVZHA;Yes
Male;1;No;No;3;0334-GDDSO;Yes
Female;0;Yes;No;55;0334-ZFJSR;No
Male;0;No;No;72;0336-KXKFK;No
Male;1;Yes;No;72;0336-PIKEI;No
Female;0;No;No;41;0337-CNPZE;Yes
Male;0;No;No;60;0343-QLUZP;No
Female;0;No;No;6;0345-HKJVM;Yes
Female;0;Yes;No;46;0345-XMMUG;No
Female;0;No;No;15;0347-UBKUZ;No
Female;0;Yes;No;58;0348-SDKOL;Yes
Male;0;Yes;Yes;23;0354-VXMJC;No
Female;1;Yes;Yes;31;0354-WYROK;Yes
Male;0;Yes;No;11;0356-ERHVT;No
Female;1;No;No;56;0356-OBMAC;No
Female;0;No;Yes;25;0357-NVCRI;No
Female;0;No;No;68;0361-HJRDX;No
Female;0;No;No;40;0362-RAOQO;No
Male;0;No;No;36;0362-ZBZWJ;Yes
Male;0;No;No;32;0363-QJVFX;Yes
Male;0;Yes;Yes;71;0363-SVHYR;No
Male;0;Yes;No;17;0365-BZUWY;No
Male;0;Yes;No;18;0365-GXEZS;No
Female;0;No;No;37;0365-TRTPY;No
Male;0;No;No;2;0366-NQSHS;No
Female;0;Yes;Yes;28;0369-ZGOVK;No
Male;0;No;No;9;0373-AIVNJ;No
Female;0;No;No;1;0374-AACSZ;No
Male;0;Yes;No;65;0374-FIUCA;No
Female;0;No;No;3;0374-IOEGQ;No
Female;0;No;No;1;0375-HVGXO;Yes
Male;0;Yes;No;36;0376-OIWME;No
Male;0;No;No;23;0376-YMCJC;Yes
Male;0;Yes;Yes;22;0377-JBKKT;No
Female;0;Yes;No;72;0378-CJKPV;No
Female;0;Yes;Yes;17;0378-NHQXU;Yes
Female;0;No;No;3;0378-TOVMS;Yes
Male;0;Yes;No;58;0378-XSZPU;Yes
Male;0;Yes;Yes;67;0379-DJQHR;No
Male;1;No;No;34;0380-NEAVX;No
Male;0;No;No;10;0380-ZCSBI;No
Female;0;No;No;69;0383-CLDDA;No
Male;0;No;No;40;0384-LPITE;No
Male;0;No;No;20;0384-RVBPI;No
Female;0;Yes;Yes;46;0386-CWRGM;No
Female;0;Yes;No;2;0388-EOPEX;Yes
Female;1;Yes;No;1;0390-DCFDQ;Yes
Female;0;Yes;No;72;0392-BZIUW;No
Male;0;Yes;Yes;70;0394-YONDK;No
Female;0;No;No;2;0396-HUJBP;No
Male;0;No;Yes;23;0396-UKGAI;No
Male;0;Yes;No;36;0396-YCHWO;No
Male;1;Yes;No;59;0397-GZBBC;Yes
Male;0;No;No;67;0397-ZXWQF;No
Male;0;Yes;Yes;72;0401-WDBXM;No
Female;0;No;No;37;0402-CQAJN;Yes
Female;0;Yes;Yes;72;0402-OAMEN;No
Male;0;Yes;No;72;0404-AHASP;No
Male;0;No;No;3;0404-SWRVG;Yes
Female;1;Yes;No;54;0406-BPDVR;Yes
Male;0;Yes;No;60;0407-BDJKB;Yes
Female;0;Yes;No;58;0409-WTMPL;No
Female;0;Yes;No;31;0410-IPFTY;No
Female;0;No;No;3;0411-EZJZE;No
Male;0;No;No;55;0412-UCCNP;No
Female;0;No;No;1;0415-MOSGF;Yes
Male;0;Yes;No;49;0419-YAAPX;No
Male;0;No;Yes;8;0420-BWTPW;Yes
Female;1;No;No;39;0420-HLGXF;No
Male;0;Yes;No;66;0420-TXVSG;No
Female;0;Yes;Yes;15;0422-OHQHQ;No
Female;0;Yes;No;51;0422-UXFAP;No
Male;1;No;No;9;0423-UDIJQ;No
Female;0;No;No;1;0426-TIRNE;Yes
Male;0;No;No;25;0428-AXXLJ;No
Male;0;Yes;No;22;0428-IKYCP;No
Male;0;No;No;15;0430-IHCDJ;No
Female;0;Yes;Yes;28;0431-APWVY;Yes
Male;0;No;No;3;0432-CAJZV;No
Female;0;Yes;No;47;0434-CSFON;No
Female;0;No;No;67;0436-TWFFZ;No
Female;1;No;No;18;0439-IFYUN;No
Male;0;Yes;No;62;0440-EKDCF;No
Female;0;No;No;41;0440-MOGPM;No
Female;0;No;No;44;0440-QEXBZ;No
Female;0;No;No;53;0440-UEDAI;No
Male;0;Yes;No;48;0442-TDYUO;No
Female;1;Yes;No;54;0442-ZXKVS;No
Female;0;Yes;No;48;0447-BEMNG;Yes
Male;0;No;No;24;0447-RXSGD;No
Male;0;No;No;33;0454-OKRCT;No
Male;0;Yes;No;66;0455-ENTCR;No
Female;0;Yes;Yes;3;0455-XFASS;No
Female;0;No;No;13;0458-HEUZG;No
Male;0;Yes;Yes;63;0459-SPZHJ;No
Female;0;Yes;Yes;23;0461-CVKMU;Yes
Male;0;No;Yes;52;0463-TXOAK;No
Male;0;No;No;3;0463-WZZKO;No
Male;0;No;No;10;0463-ZSDNT;No
Female;0;Yes;Yes;72;0464-WJTKO;No
Male;0;No;No;29;0468-YRPXN;No
Female;1;Yes;No;62;0471-ARVMX;No
Male;0;Yes;No;41;0471-LVHGK;Yes
Male;0;No;No;43;0475-RIJEP;Yes
Female;0;No;Yes;26;0479-HMSWA;No
Female;0;Yes;No;19;0480-BIXDE;No
Female;0;Yes;Yes;72;0480-KYJVA;No
Female;1;No;No;45;0481-SUMCB;No
Male;0;No;No;32;0484-FFVBJ;No
Male;0;No;No;41;0484-JPBRU;No
Male;0;Yes;Yes;65;0485-ZBSLN;No
Male;0;Yes;No;55;0486-HECZI;Yes
Male;0;Yes;Yes;11;0486-LGCCH;No
Female;0;No;No;49;0487-CRLZF;No
Male;0;Yes;No;61;0487-RPVUM;No
Male;0;Yes;Yes;25;0487-VVUVK;No
Female;0;No;No;1;0488-GSLFR;Yes
Female;0;No;Yes;23;0489-WMEMG;No
Male;0;No;No;21;0491-KAPQG;No
Female;0;No;No;1;0495-RVCBF;Yes
Male;1;Yes;No;5;0495-ZBNGW;Yes
Male;0;Yes;No;24;0496-AHOOK;No
Female;1;No;No;27;0504-HHAPI;Yes
Female;0;Yes;No;70;0505-SPOOW;No
Female;1;No;No;5;0506-LVNGN;Yes
Male;0;Yes;Yes;46;0506-YLVKJ;No
Female;0;Yes;Yes;2;0508-OOLTO;No
Female;0;Yes;Yes;57;0508-SQWPL;No
Female;0;No;No;1;0511-JTEOY;Yes
Female;1;Yes;No;60;0512-FLFDW;No
Male;0;Yes;Yes;37;0513-RBGPE;No
Male;0;No;Yes;1;0515-YPMCW;Yes
Male;0;Yes;Yes;28;0516-OOHAR;No
Female;1;No;No;24;0516-QREYC;No
Female;0;No;No;62;0516-UXRMT;No
