InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;customerID;Churn
DSL;No;Yes;No;Yes;Yes;No;0002-ORFBO;No
DSL;No;No;No;No;No;Yes;0003-MKNFE;No
Fiber optic;No;No;Yes;No;No;No;0004-TLHLJ;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;0011-IGKFF;Yes
Fiber optic;No;No;No;Yes;Yes;No;0013-EXCHZ;Yes
DSL;No;No;No;Yes;Yes;Yes;0013-MHZWF;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0013-SMEOE;No
Fiber optic;Yes;No;No;Yes;No;No;0014-BMAQU;No
DSL;Yes;No;No;No;No;No;0015-UOCOJ;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;0016-QLJIS;No
DSL;Yes;No;No;Yes;Yes;No;0017-DINOC;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0017-IUDMW;No
Fiber optic;No;No;No;No;No;No;0018-NYROU;No
Fiber optic;Yes;Yes;Yes;No;Yes;No;0019-EFAEP;No
DSL;Yes;Yes;Yes;Yes;No;No;0019-GFNTW;No
Fiber optic;No;Yes;Yes;No;No;Yes;0020-INWCK;No
DSL;Yes;No;Yes;Yes;Yes;Yes;0020-JDNXP;No
Fiber optic;No;No;No;No;No;No;0021-IKXGC;No
DSL;Yes;No;Yes;No;No;Yes;0022-TCJCI;Yes
DSL;No;No;No;No;No;No;0023-HGHWL;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0023-UYUPN;No
Fiber optic;No;Yes;Yes;No;Yes;No;0023-XUOPT;Yes
Fiber optic;No;No;No;No;Yes;No;0027-KWYKW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0030-FNXPP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0031-PVLZI;Yes
DSL;Yes;No;No;No;No;No;0032-PGELS;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;0036-IHMOT;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0040-HALCW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0042-JVWOJ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0042-RLHYP;No
Fiber optic;No;No;No;No;Yes;Yes;0048-LUMLS;No
