PhoneService;MultipleLines;customerID;Churn
Yes;No;0002-ORFBO;No
Yes;Yes;0003-MKNFE;No
Yes;No;0004-TLHLJ;Yes
Yes;No;0011-IGKFF;Yes
Yes;No;0013-EXCHZ;Yes
Yes;No;0013-MHZWF;No
Yes;No;0013-SMEOE;No
Yes;Yes;0014-BMAQU;No
Yes;No;0015-UOCOJ;No
Yes;Yes;0016-QLJIS;No
No;No phone service;0017-DINOC;No
Yes;Yes;0017-IUDMW;No
Yes;No;0018-NYROU;No
Yes;Yes;0019-EFAEP;No
No;No phone service;0019-GFNTW;No
Yes;Yes;0020-INWCK;No
No;No phone service;0020-JDNXP;No
Yes;Yes;0021-IKXGC;No
Yes;No;0022-TCJCI;Yes
No;No phone service;0023-HGHWL;Yes
Yes;Yes;0023-UYUPN;No
Yes;Yes;0023-XUOPT;Yes
Yes;Yes;0027-KWYKW;No
Yes;No;0030-FNXPP;No
Yes;No;0031-PVLZI;Yes
No;No phone service;0032-PGELS;Yes
Yes;No;0036-IHMOT;No
Yes;No;0040-HALCW;No
Yes;No;0042-JVWOJ;No
Yes;No;0042-RLHYP;No
Yes;No;0048-LUMLS;No
Yes;No;0048-PIHNL;No
Yes;Yes;0052-DCKON;No
Yes;No;0052-YNYOT;No
No;No phone service;0056-EPFBG;No
Yes;Yes;0057-QBUQH;No
Yes;Yes;0058-EVZWM;No
Yes;Yes;0060-FUALY;No
Yes;No;0064-SUDOG;No
Yes;Yes;0064-YIJGF;No
Yes;No;0067-DKWBL;Yes
Yes;No;0068-FIGTF;No
Yes;Yes;0071-NDAFP;No
Yes;No;0074-HDKDG;No
No;No phone service;0076-LVEPS;No
Yes;Yes;0078-XZMHT;No
Yes;No;0080-EMYVY;No
Yes;No;0080-OROZO;No
Yes;No;0082-LDZUE;No
Yes;No;0082-OQIQY;No
Yes;Yes;0083-PIVIK;No
Yes;Yes;0089-IIQKO;No
Yes;No;0093-EXYQL;No
Yes;Yes;0093-XWZFY;Yes
Yes;No;0094-OIFMO;Yes
Yes;Yes;0096-BXERS;No
Yes;Yes;0096-FCPUF;No
Yes;No;0098-BOWSO;No
Yes;Yes;0100-DUVFC;No
Yes;Yes;0103-CSITQ;No
Yes;No;0104-PPXDV;No
Yes;Yes;0106-GHRQR;No
Yes;Yes;0106-UGRDO;No
Yes;No;0107-WESLM;Yes
Yes;Yes;0107-YHINA;Yes
Yes;No;0111-KLBQG;No
Yes;Yes;0112-QAWRZ;No
Yes;Yes;0112-QWPNC;Yes
No;No phone service;0114-IGABW;No
Yes;Yes;0114-PEGZZ;No
Yes;No;0114-RSRRW;No
Yes;Yes;0115-TFERT;Yes
No;No phone service;0117-LFRMW;Yes
Yes;No;0118-JPNOY;No
No;No phone service;0121-SNYRK;No
Yes;Yes;0122-OAHPZ;Yes
Yes;Yes;0123-CRBRT;No
Yes;No;0125-LZQXK;Yes
No;No phone service;0128-MKWSG;No
Yes;No;0129-KPTWJ;No
Yes;No;0129-QMPDR;No
Yes;Yes;0130-SXOUN;No
Yes;No;0133-BMFZO;Yes
Yes;No;0134-XWXCE;No
Yes;Yes;0135-NMXAP;Yes
Yes;Yes;0136-IFMYD;No
Yes;Yes;0137-OCGAB;Yes
Yes;No;0137-UDEUO;Yes
Yes;No;0139-IVFJG;No
Yes;Yes;0141-YEAYS;No
Yes;No;0142-GVYSN;No
Yes;Yes;0147-ESWWR;No
Yes;Yes;0148-DCDOS;Yes
Yes;No;0151-ONTOV;Yes
Yes;No;0156-FVPTA;Yes
Yes;Yes;0164-APGRB;No
Yes;No;0164-XAIRP;No
Yes;Yes;0168-XZKBB;No
Yes;Yes;0174-QRVVY;No
Yes;Yes;0177-PXBAT;No
Yes;No;0178-CIIKR;No
Yes;Yes;0178-SZBHO;No
Yes;No;0181-RITDD;No
Yes;Yes;0186-CAERR;No
Yes;No;0187-QSXOE;No
Yes;No;0187-WZNAB;No
Yes;No;0188-GWFLE;No
No;No phone service;0191-EQUUH;No
Yes;No;0191-ZHSKZ;No
Yes;No;0193-ESZXP;Yes
Yes;Yes;0195-IESCP;Yes
Yes;Yes;0196-JTUQI;No
Yes;Yes;0196-VULGZ;Yes
Yes;Yes;0197-PNKNK;No
Yes;Yes;0201-MIBOL;No
Yes;Yes;0201-OAMXR;Yes
Yes;Yes;0203-HHYIJ;Yes
Yes;No;0206-OYVOC;No
Yes;Yes;0206-TBWLC;No
Yes;No;0207-MDKNV;Yes
Yes;No;0208-BPQEJ;No
No;No phone service;0212-ISBBF;No
No;No phone service;0214-JHPFW;No
Yes;No;0215-BQKGS;No
Yes;Yes;0218-QNVAS;No
Yes;No;0219-QAERP;No
Yes;Yes;0219-YTZUE;Yes
Yes;No;0220-EBGCE;Yes
Yes;No;0221-NAUXK;No
Yes;No;0221-WMXNQ;No
No;No phone service;0222-CNVPT;No
Yes;Yes;0224-HJAPT;Yes
Yes;No;0224-NIJLP;No
Yes;No;0224-RLWWD;No
Yes;No;0225-ZORZP;No
Yes;Yes;0228-MAUWC;No
Yes;Yes;0229-LFJAF;No
No;No phone service;0230-UBYPQ;No
No;No phone service;0230-WEQUW;No
Yes;No;0231-LXVAP;Yes
Yes;Yes;0233-FTHAV;No
No;No phone service;0234-TEVTT;No
Yes;No;0235-KGSLC;Yes
Yes;Yes;0236-HFWSV;Yes
Yes;Yes;0237-YFUTL;No
