gender;SeniorCitizen;Partner;Dependents;tenure;customerID;Churn;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;Charges.Monthly;Charges.Total
Female;0;Yes;Yes;9;0002-ORFBO;No;Yes;No;DSL;No;Yes;No;Yes;Yes;No;One year;Yes;Mailed check;65.6;593.3
Male;0;No;No;9;0003-MKNFE;No;Yes;Yes;DSL;No;No;No;No;No;Yes;Month-to-month;No;Mailed check;59.9;542.4
Male;0;No;No;4;0004-TLHLJ;Yes;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;73.9;280.85
Male;1;Yes;No;13;0011-IGKFF;Yes;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;98.0;1237.85
Female;1;Yes;No;3;0013-EXCHZ;Yes;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Mailed check;83.9;267.4
Female;0;No;Yes;9;0013-MHZWF;No;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);69.4;571.45
Female;1;Yes;No;71;0013-SMEOE;No;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);109.7;7904.25
Male;0;Yes;No;63;0014-BMAQU;No;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;No;Two year;Yes;Credit card (automatic);84.65;5377.8
Female;1;No;No;7;0015-UOCOJ;No;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;48.2;340.35
Female;0;Yes;Yes;65;0016-QLJIS;No;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;90.45;5957.9
Male;0;No;No;54;0017-DINOC;No;No;No phone service;DSL;Yes;No;No;Yes;Yes;No;Two year;No;Credit card (automatic);45.2;2460.55
Female;0;Yes;Yes;72;0017-IUDMW;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);116.8;8456.75
Female;0;Yes;No;5;0018-NYROU;No;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;68.95;351.5
Female;0;No;No;72;0019-EFAEP;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;No;Two year;Yes;Bank transfer (automatic);101.3;7261.25
Female;0;No;No;56;0019-GFNTW;No;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);45.05;2560.1
Female;0;Yes;Yes;71;0020-INWCK;No;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Two year;Yes;Credit card (automatic);95.75;6849.4
Female;0;Yes;Yes;34;0020-JDNXP;No;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Mailed check;61.25;1993.2
Female;1;No;No;1;0021-IKXGC;No;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;72.1;72.1
Male;1;No;No;45;0022-TCJCI;Yes;Yes;No;DSL;Yes;No;Yes;No;No;Yes;One year;No;Credit card (automatic);62.7;2791.5
Male;1;No;No;1;0023-HGHWL;Yes;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;25.1;25.1
Female;1;Yes;No;50;0023-UYUPN;No;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;25.2;1306.3
Female;0;Yes;No;13;0023-XUOPT;Yes;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;No;Electronic check;94.1;1215.6
Female;0;Yes;Yes;23;0027-KWYKW;No;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;83.75;1849.95
Female;0;No;No;3;0030-FNXPP;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.85;57.2
Female;0;Yes;Yes;4;0031-PVLZI;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.35;76.35
Female;0;Yes;Yes;1;0032-PGELS;Yes;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);30.5;30.5
Female;0;Yes;Yes;55;0036-IHMOT;No;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);103.7;5656.75
Male;0;Yes;Yes;54;0040-HALCW;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20.4;1090.6
Male;0;No;No;26;0042-JVWOJ;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);19.6;471.85
Female;0;Yes;Yes;69;0042-RLHYP;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19.7;1396.9
Male;0;Yes;Yes;37;0048-LUMLS;No;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Credit card (automatic);91.2;3247.55
Female;0;Yes;No;49;0048-PIHNL;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);20.45;900.9
Male;0;Yes;No;66;0052-DCKON;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);115.8;7942.15
Female;0;No;No;67;0052-YNYOT;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;20.55;1343.4
Male;0;Yes;Yes;20;0056-EPFBG;No;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);39.4;825.4
Female;0;No;Yes;43;0057-QBUQH;No;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Electronic check;25.1;1070.15
Female;0;Yes;No;55;0058-EVZWM;No;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89.8;4959.6
Female;0;Yes;No;59;0060-FUALY;No;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;94.75;5597.65
Female;0;Yes;Yes;12;0064-SUDOG;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.3;224.5
Male;0;Yes;Yes;27;0064-YIJGF;No;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75.75;1929.0
Male;1;No;No;2;0067-DKWBL;Yes;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;49.25;91.1
Female;0;No;No;27;0068-FIGTF;No;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;No;Mailed check;78.2;2078.95
Male;0;Yes;Yes;25;0071-NDAFP;No;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25.5;630.6
Male;0;Yes;Yes;25;0074-HDKDG;No;Yes;No;DSL;Yes;Yes;Yes;No;No;No;One year;Yes;Bank transfer (automatic);61.6;1611.0
Male;0;No;Yes;29;0076-LVEPS;No;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Month-to-month;Yes;Mailed check;45.0;1242.45
Male;0;Yes;No;72;0078-XZMHT;No;Yes;Yes;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);85.15;6316.2
Female;0;No;No;14;0080-EMYVY;No;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Credit card (automatic);51.45;727.85
Female;0;No;No;35;0080-OROZO;No;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;99.25;3532.0
Male;0;No;No;1;0082-LDZUE;No;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;44.3;44.3
Male;0;No;No;29;0082-OQIQY;No;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;94.2;2607.6
Male;0;No;No;64;0083-PIVIK;No;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;One year;No;Electronic check;81.25;5567.55
Female;0;Yes;Yes;39;0089-IIQKO;No;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99.95;3767.4
Female;1;No;No;40;0093-EXYQL;No;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;91.55;3673.6
Male;0;No;No;40;0093-XWZFY;Yes;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);104.5;4036.85
Female;1;No;No;11;0094-OIFMO;Yes;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95.0;1120.3
Female;0;Yes;No;6;0096-BXERS;No;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;50.35;314.55
Male;0;No;No;30;0096-FCPUF;No;Yes;Yes;DSL;Yes;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;64.5;1888.45
Male;0;No;No;27;0098-BOWSO;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;19.4;529.8
Male;1;Yes;No;70;0100-DUVFC;No;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;104.8;7308.95
Female;0;Yes;No;57;0103-CSITQ;No;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);109.4;6252.7
Male;0;Yes;No;58;0104-PPXDV;No;Yes;No;DSL;No;No;Yes;No;No;No;One year;No;Credit card (automatic);50.3;2878.55
Male;0;No;No;16;0106-GHRQR;No;Yes;Yes;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);71.4;1212.1
Female;0;Yes;No;69;0106-UGRDO;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;116.0;8182.85
Male;0;No;No;1;0107-WESLM;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;19.85;19.85
Male;0;No;Yes;1;0107-YHINA;Yes;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99.75;99.75
Male;1;Yes;Yes;32;0111-KLBQG;No;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;93.95;2861.45
Male;0;Yes;Yes;16;0112-QAWRZ;No;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);90.8;1442.2
Male;0;Yes;No;49;0112-QWPNC;Yes;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Electronic check;84.35;4059.35
Female;0;Yes;No;71;0114-IGABW;No;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);58.25;4145.9
Female;0;No;No;33;0114-PEGZZ;No;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;107.55;3645.5
